経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, A_used, HR_used, V2P_relTTP_used, P2V_relTTP_used, SBP, DBP, SBP_process, DBP_process, IBI_input_ms, IBI_smoothed_ms, used_smoothed_ibi, SBP_raw, DBP_raw, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
35.646, 9.1222, 78.0570, -0.6735, -0.3355, 9.1222, 78.0570, -0.6735, -0.3355, 115.85, 89.27, 115.85, 89.27, 804.0000, 768.6690, 1, 115.85, 89.27, 0, 0, 1, ok, ok, 98.1336, 26.5776, 98.1296, 26.0429, 98.1296, 26.0429, 115.49, 89.45, 115.49, 89.45, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
36.447, 9.1222, 76.3034, -0.6567, -0.3284, 9.1222, 76.3034, -0.6567, -0.3284, 116.32, 89.05, 116.32, 89.05, 795.0000, 786.3345, 1, 116.32, 89.05, 0, 0, 1, ok, ok, 98.1362, 27.2710, 98.1316, 26.6570, 98.1316, 26.6570, 115.90, 89.25, 115.90, 89.25, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
37.308, 9.1363, 75.8853, -0.7044, -0.3308, 9.1363, 75.8853, -0.7044, -0.3308, 116.62, 88.90, 116.62, 88.90, 851.0000, 790.6672, 1, 116.62, 88.90, 0, 0, 1, ok, ok, 98.1382, 27.7155, 98.1335, 27.1863, 98.1335, 27.1863, 116.26, 89.07, 116.26, 89.07, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
38.087, 8.1989, 75.8853, -0.5817, -0.8132, 9.1363, 75.8853, -0.7044, -0.3308, 116.62, 88.90, 116.62, 88.90, 792.0000, 790.6672, 1, 116.62, 88.90, 0, 0, 0, ok, rel_ttp_sum_out_of_range, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
38.858, 9.1546, 74.4032, -0.5833, -0.3333, 9.1546, 74.4032, -0.5833, -0.3333, 116.84, 88.79, 116.84, 88.79, 778.0000, 806.4168, 1, 116.84, 88.79, 0, 0, 1, ok, ok, 98.1392, 28.0506, 98.1352, 27.6184, 98.1352, 27.6184, 116.55, 88.93, 116.55, 88.93, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
39.593, 9.3221, 75.7376, -0.5938, -0.3817, 9.3221, 75.7376, -0.5938, -0.3817, 117.03, 88.70, 117.03, 88.70, 738.0000, 792.2084, 1, 117.03, 88.70, 0, 0, 1, ok, ok, 98.1411, 28.3268, 98.1370, 27.9726, 98.1370, 27.9726, 116.79, 88.81, 116.79, 88.81, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
40.359, 9.1354, 78.4207, -0.6707, -0.3577, 9.1354, 78.4207, -0.6707, -0.3577, 116.01, 89.20, 116.01, 89.20, 742.0000, 765.1042, 1, 116.01, 89.20, 0, 0, 1, ok, ok, 98.1347, 26.8141, 98.1363, 27.3934, 98.1363, 27.3934, 116.40, 89.01, 116.40, 89.01, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
41.093, 8.9434, 79.6229, -0.6226, -0.3558, 8.9434, 79.6229, -0.6226, -0.3558, 115.47, 89.46, 115.47, 89.46, 760.0000, 753.5521, 1, 115.47, 89.46, 0, 0, 1, ok, ok, 98.1309, 26.0077, 98.1347, 26.7005, 98.1347, 26.7005, 115.94, 89.23, 115.94, 89.23, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
41.861, 9.1699, 79.2837, -0.6947, -0.3474, 9.1699, 79.2837, -0.6947, -0.3474, 115.64, 89.38, 115.64, 89.38, 766.0000, 756.7761, 1, 115.64, 89.38, 0, 0, 1, ok, ok, 98.1326, 26.2572, 98.1341, 26.4788, 98.1341, 26.4788, 115.79, 89.31, 115.79, 89.31, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
42.631, 8.1166, 78.8034, -0.6893, -0.3016, 8.1166, 78.8034, -0.6893, -0.3016, 115.30, 89.54, 115.30, 89.54, 761.0000, 761.3880, 1, 115.30, 89.54, 0, 0, 1, ok, ok, 98.1275, 25.7661, 98.1321, 26.1225, 98.1321, 26.1225, 115.55, 89.42, 115.55, 89.42, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
