経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, SBP_process, DBP_process, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
23.754, 4.0767, 80.1597, 4.3514, 1.2099, 4.0767, 80.1597, 4.3514, 0.9356, 0.3531, 114.89, 89.74, 114.89, 89.74, 0.9356, 0.3531, 1.4394, 3.8141, 0.4592, 777.0000, 748.5057, 1, 23, 0.3426, 9.3378, 8.9952, 2.9190, 0.3900, 0.6100, 114.89, 89.74, 114.89, 89.74, 0, 0, 0, 1, ok, ok, 98.1216, 25.1484, 98.1279, 26.3553, 98.1279, 26.3553, 115.70, 89.34, 115.70, 89.34, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
24.520, 3.6660, 0.0000, 3.5975, 1.4957, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 114.89, 89.74, 114.89, 89.74, 0.9972, 0.0750, 0.2750, 3.6557, 1.0297, 758.0000, 0.0000, 0, 22, 0.3603, 9.3470, 8.9867, 2.7893, 0.3971, 0.6029, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, poor_sine_fit, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
25.323, 4.3096, 77.4817, 5.0967, 1.1177, 4.3096, 77.4817, 5.0967, 0.8991, 0.4378, 116.66, 88.87, 116.66, 88.87, 0.8991, 0.4378, 1.8866, 3.8747, 0.8010, 760.0000, 774.3764, 1, 23, 0.4295, 9.5324, 9.1028, 3.1509, 0.3408, 0.6592, 116.66, 88.87, 116.66, 88.87, 0, 0, 0, 1, ok, ok, 98.1288, 27.7897, 98.1282, 27.0725, 98.1282, 27.0725, 116.18, 89.10, 116.18, 89.10, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
26.090, 4.3329, 76.7079, 4.6865, 1.3070, 4.3329, 76.7079, 4.6865, 0.9654, 0.2607, 116.96, 88.72, 116.96, 88.72, 0.9654, 0.2607, 1.1297, 4.1831, 0.8076, 793.0000, 782.1882, 1, 24, 0.4956, 9.6097, 9.1141, 3.1685, 0.3695, 0.6305, 116.96, 88.72, 116.96, 88.72, 0, 0, 0, 1, ok, ok, 98.1336, 28.2366, 98.1298, 27.6545, 98.1298, 27.6545, 116.57, 88.91, 116.57, 88.91, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
26.795, 4.4357, 77.4100, 5.1815, 1.2073, 4.4357, 77.4100, 5.1815, 0.9347, 0.3555, 117.18, 88.61, 117.18, 88.61, 0.9347, 0.3555, 1.5771, 4.1458, 0.7745, 790.0000, 775.0941, 1, 24, 0.4484, 9.5596, 9.1111, 3.2307, 0.3671, 0.6329, 117.18, 88.61, 117.18, 88.61, 0, 0, 0, 1, ok, ok, 98.1319, 28.5690, 98.1304, 28.1118, 98.1304, 28.1118, 116.87, 88.76, 116.87, 88.76, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
27.530, 4.2711, 80.6401, 5.0423, 1.2485, 4.2711, 80.6401, 5.0423, 0.9485, 0.3167, 115.92, 89.23, 115.92, 89.23, 0.9485, 0.3167, 1.3527, 4.0513, 0.7750, 765.0000, 744.0471, 1, 23, 0.4971, 9.5452, 9.0481, 3.1180, 0.3908, 0.6092, 115.92, 89.23, 115.92, 89.23, 0, 0, 0, 1, ok, ok, 98.1255, 26.6860, 98.1290, 27.3989, 98.1290, 27.3989, 116.39, 89.00, 116.39, 89.00, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
28.237, 4.0427, 81.6300, 5.4528, 1.1677, 4.0427, 81.6300, 5.4528, 0.9199, 0.3923, 115.48, 89.44, 115.48, 89.44, 0.9199, 0.3923, 1.5858, 3.7187, 0.8883, 715.0000, 735.0235, 1, 21, 0.4909, 9.5036, 9.0127, 2.9935, 0.3958, 0.6042, 115.48, 89.44, 115.48, 89.44, 0, 0, 0, 1, ok, ok, 98.1223, 26.0409, 98.1270, 26.7199, 98.1270, 26.7199, 115.94, 89.22, 115.94, 89.22, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
28.934, 4.2304, 83.3899, 4.6209, 1.4527, 4.2304, 83.3899, 4.6209, 0.9930, 0.1179, 115.27, 89.55, 115.27, 89.55, 0.9930, 0.1179, 0.4986, 4.2009, 0.7710, 719.0000, 719.5118, 1, 22, 0.4425, 9.4585, 9.0160, 3.0891, 0.4019, 0.5981, 115.27, 89.55, 115.27, 89.55, 0, 0, 0, 1, ok, ok, 98.1253, 25.7165, 98.1265, 26.2182, 98.1265, 26.2182, 115.61, 89.39, 115.61, 89.39, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
29.634, 3.9120, 83.6522, 5.2176, 1.0766, 3.9120, 83.6522, 5.2176, 0.8803, 0.4743, 114.24, 90.05, 114.24, 90.05, 0.8803, 0.4743, 1.8556, 3.4439, 0.9065, 711.0000, 717.2559, 1, 21, 0.4560, 9.4585, 9.0025, 2.9109, 0.3924, 0.6076, 114.24, 90.05, 114.24, 90.05, 0, 0, 0, 1, ok, ok, 98.1150, 24.1867, 98.1230, 25.2025, 98.1230, 25.2025, 114.92, 89.72, 114.92, 89.72, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
30.340, 4.1289, 85.3937, 4.6263, 1.3125, 4.1289, 85.3937, 4.6263, 0.9668, 0.2554, 114.03, 90.16, 114.03, 90.16, 0.9668, 0.2554, 1.0547, 3.9919, 0.8617, 713.0000, 702.6279, 1, 22, 0.4375, 9.6479, 9.2104, 3.0441, 0.3492, 0.6508, 114.03, 90.16, 114.03, 90.16, 0, 0, 0, 1, ok, ok, 98.1159, 23.8681, 98.1209, 24.5353, 98.1209, 24.5353, 114.48, 89.94, 114.48, 89.94, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
