経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, SBP_process, DBP_process, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
24.324, 4.6440, 68.6355, 4.8389, 1.2553, 4.6440, 68.6355, 4.8389, 0.9506, 0.3103, 119.85, 87.30, 119.85, 87.30, 0.9506, 0.3103, 1.4409, 4.4148, 0.6361, 824.0000, 874.1830, 1, 24, 0.3280, 9.7863, 9.4583, 3.3448, 0.3762, 0.6238, 119.85, 87.30, 119.85, 87.30, 0, 0, 0, 1, ok, ok, 98.1495, 32.5536, 98.1428, 31.5486, 98.1428, 31.5486, 119.18, 87.63, 119.18, 87.63, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
25.202, 4.5426, 82.4639, 6.1457, 1.8564, 4.5426, 82.4639, 6.1457, 0.9595, -0.2817, 119.65, 87.41, 119.65, 87.41, 0.9595, -0.2817, -1.2798, 4.3586, 0.8847, 939.0000, 727.5915, 1, 28, 0.3891, 9.8467, 9.4576, 3.3317, 0.5037, 0.4963, 119.65, 87.41, 119.65, 87.41, 0, 0, 0, 1, ok, ok, 98.1550, 32.2377, 98.1464, 31.8932, 98.1464, 31.8932, 119.41, 87.52, 119.41, 87.52, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
26.030, 3.8157, 0.0000, 6.7042, 1.2158, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 119.65, 87.41, 119.65, 87.41, 0.9377, 0.3476, 1.3263, 3.5778, 0.8835, 585.0000, 0.0000, 0, 18, 0.9662, 9.8805, 8.9143, 2.8391, 0.4308, 0.5692, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
26.737, 4.4858, 73.3140, 4.9912, 1.6864, 4.4858, 73.3140, 4.9912, 0.9933, -0.1154, 120.08, 87.20, 120.08, 87.20, 0.9933, -0.1154, -0.5175, 4.4558, 0.7622, 869.0000, 818.3979, 1, 26, 0.3842, 9.8957, 9.5115, 3.2622, 0.4177, 0.5823, 120.08, 87.20, 120.08, 87.20, 0, 0, 0, 1, ok, ok, 98.1581, 32.8884, 98.1500, 32.3908, 98.1500, 32.3908, 119.74, 87.35, 119.74, 87.35, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
27.633, 4.4917, 79.4493, 6.1074, 1.4728, 4.4917, 79.4493, 6.1074, 0.9952, 0.0978, 118.54, 87.94, 118.54, 87.94, 0.9952, 0.0978, 0.4393, 4.4701, 0.8400, 846.0000, 755.1989, 1, 25, 0.5290, 9.9104, 9.3814, 3.2853, 0.4480, 0.5520, 118.54, 87.94, 118.54, 87.94, 0, 0, 0, 1, ok, ok, 98.1412, 30.5929, 98.1473, 31.4919, 98.1473, 31.4919, 119.14, 87.65, 119.14, 87.65, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
28.429, 4.4299, 73.3407, 5.7862, 0.9544, 4.4299, 73.3407, 5.7862, 0.8160, 0.5781, 118.57, 87.92, 118.57, 87.92, 0.8160, 0.5781, 2.5609, 3.6146, 0.7063, 682.0000, 818.0995, 1, 20, 0.6427, 9.9000, 9.2573, 3.2110, 0.4047, 0.5953, 118.57, 87.92, 118.57, 87.92, 0, 0, 0, 1, ok, ok, 98.1377, 30.6545, 98.1444, 31.0732, 98.1444, 31.0732, 118.86, 87.79, 118.86, 87.79, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
29.208, 4.5037, 0.0000, 3.8112, 1.7217, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 118.57, 87.92, 118.57, 87.92, 0.9886, -0.1503, -0.6768, 4.4525, 1.2483, 888.0000, 0.0000, 0, 27, 0.2551, 9.8421, 9.5870, 3.4205, 0.3649, 0.6351, 60.00, 40.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
30.000, 4.7083, 76.1156, 5.3172, 1.1932, 4.7083, 76.1156, 5.3172, 0.9296, 0.3687, 118.12, 88.14, 118.12, 88.14, 0.9296, 0.3687, 1.7359, 4.3766, 0.4096, 826.0000, 788.2749, 1, 25, 0.2976, 9.8479, 9.5503, 3.3544, 0.3923, 0.6077, 118.12, 88.14, 118.12, 88.14, 0, 0, 0, 1, ok, ok, 98.1357, 29.9827, 98.1418, 30.5279, 98.1418, 30.5279, 118.49, 87.97, 118.49, 87.97, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
30.810, 4.4061, 75.4587, 4.6383, 1.5203, 4.4061, 75.4587, 4.6383, 0.9987, 0.0505, 118.18, 88.13, 118.18, 88.13, 0.9987, 0.0505, 0.2225, 4.4005, 0.6816, 745.0000, 795.1374, 1, 22, 0.3540, 9.7104, 9.3564, 3.1893, 0.4081, 0.5919, 118.18, 88.13, 118.18, 88.13, 0, 0, 0, 1, ok, ok, 98.1442, 30.0486, 98.1425, 30.2883, 98.1425, 30.2883, 118.33, 88.05, 118.33, 88.05, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
31.580, 4.4073, 75.2758, 5.4758, 1.2456, 4.4073, 75.2758, 5.4758, 0.9476, 0.3195, 118.17, 88.12, 118.17, 88.12, 0.9476, 0.3195, 1.4081, 4.1763, 0.7197, 813.0000, 797.0687, 1, 24, 0.4295, 9.7372, 9.3077, 3.1984, 0.3813, 0.6187, 118.17, 88.12, 118.17, 88.12, 0, 0, 0, 1, ok, ok, 98.1382, 30.0491, 98.1412, 30.1687, 98.1412, 30.1687, 118.25, 88.09, 118.25, 88.09, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
32.388, 4.7386, 76.6250, 5.1247, 1.1815, 4.7386, 76.6250, 5.1247, 0.9252, 0.3795, 117.79, 88.30, 117.79, 88.30, 0.9252, 0.3795, 1.7984, 4.3841, 0.6131, 791.0000, 783.0344, 1, 24, 0.3361, 9.7677, 9.4316, 3.4063, 0.3654, 0.6346, 117.79, 88.30, 117.79, 88.30, 0, 0, 0, 1, ok, ok, 98.1337, 29.4864, 98.1390, 29.8275, 98.1390, 29.8275, 118.02, 88.20, 118.02, 88.20, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
