経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason, MAP_raw, PP_raw, MAP_smoothed, PP_smoothed, MAP_calibrated, PP_calibrated, SBP_smoothed, DBP_smoothed, SBP_calibrated, DBP_calibrated, postprocess_applied, POST_map_a, POST_map_b, POST_pp_a, POST_pp_b, POST_alpha_map, POST_alpha_pp
113.333, 0.8387, 0.0000, 1.9303, 1.1052, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 122.48, 85.97, 0.8936, 0.4490, 0.3766, 0.7494, 0.5190, 397.0000, 0.0000, 0, 11, 1.2242, 3.7773, 2.5531, 0.7881, 0.5491, 0.4509, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
114.171, 0.7690, 62.6038, 0.8612, 1.9045, 1.4079, 62.6038, 2.5455, 0.9448, -0.3275, 122.48, 85.97, 0.9448, -0.3275, -0.2518, 0.7266, 0.1022, 829.0000, 958.4077, 1, 25, 0.0708, 1.8224, 1.7516, 0.5533, 0.5549, 0.4451, 0.00, 0.00, 0.00, 0.00, 0, 0, 1, 0, A:0.7690->1.4079|Mean:0.8612->2.5455, feature_support_violation, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
115.112, 0.8369, 67.7045, 8.7367, 1.8723, 1.4079, 67.7045, 7.6781, 0.9549, -0.2969, 122.48, 85.97, 0.9549, -0.2969, -0.2485, 0.7991, 0.1483, 620.0000, 886.2038, 1, 18, 7.6818, 9.7833, 2.1016, 0.6101, 0.5710, 0.4290, 0.00, 0.00, 0.00, 0.00, 0, 0, 1, 0, A:0.8369->1.4079|Mean:8.7367->7.6781, feature_support_violation, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
116.047, 1.0826, 65.4592, 8.6116, 0.9959, 1.4079, 65.4592, 7.6781, 0.8393, 0.5437, 122.48, 85.97, 0.8393, 0.5437, 0.5886, 0.9086, 0.2186, 450.0000, 916.6019, 1, 14, 7.3980, 9.8229, 2.4249, 0.7961, 0.4022, 0.5978, 0.00, 0.00, 0.00, 0.00, 0, 0, 1, 0, A:1.0826->1.4079|Mean:8.6116->7.6781, feature_support_violation, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
117.123, 2.4808, 64.5647, 7.2029, 2.4808, 2.4808, 64.5647, 7.2029, 0.6137, -0.7895, 130.83, 81.79, 0.6137, -0.7895, -1.9587, 1.5225, 0.2742, 491.0000, 929.3010, 1, 14, 4.4826, 9.6093, 5.1267, 1.7755, 0.6456, 0.3544, 130.83, 81.79, 130.83, 81.79, 0, 0, 0, 1, ok, ok, 98.1342, 49.0453, 98.1533, 39.1417, 98.1533, 39.1417, 124.25, 85.11, 124.25, 85.11, 1, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
117.922, 4.5848, 0.0000, 5.4254, 1.6495, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 130.83, 81.79, 0.9969, -0.0786, -0.3604, 4.5707, 0.7243, 942.0000, 0.0000, 0, 29, 0.1720, 9.8133, 9.6412, 3.3219, 0.4798, 0.5202, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
118.851, 5.2085, 0.0000, 4.9454, 1.8327, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 130.83, 81.79, 0.9659, -0.2589, -1.3483, 5.0310, 0.7980, 1076.0000, 0.0000, 0, 33, 0.2195, 9.9490, 9.7295, 3.7684, 0.4173, 0.5827, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
119.956, 4.2519, 0.0000, 6.6097, 1.0752, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 130.83, 81.79, 0.8797, 0.4756, 2.0221, 3.7402, 1.0437, 795.0000, 0.0000, 0, 23, 0.8168, 9.9197, 9.1029, 3.1825, 0.4176, 0.5824, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
120.722, 5.1361, 0.0000, 5.0473, 1.4413, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 130.83, 81.79, 0.9916, 0.1292, 0.6635, 5.0930, 0.5718, 940.0000, 0.0000, 0, 29, 0.3056, 9.9186, 9.6130, 3.6765, 0.5138, 0.4862, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
121.664, 5.0519, 0.0000, 5.2830, 1.7051, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 130.83, 81.79, 0.9910, -0.1339, -0.6764, 5.0064, 0.7456, 1105.0000, 0.0000, 0, 33, 0.3938, 9.8885, 9.4948, 3.6492, 0.4217, 0.5783, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
122.529, 4.7607, 0.0000, 5.4703, 1.2321, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 130.83, 81.79, 0.9432, 0.3323, 1.5819, 4.4902, 0.5606, 759.0000, 0.0000, 0, 22, 0.5038, 9.8432, 9.3393, 3.4127, 0.4269, 0.5731, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
123.434, 5.0705, 0.0000, 5.1877, 1.3495, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 130.83, 81.79, 0.9756, 0.2195, 1.1129, 4.9469, 0.5877, 942.0000, 0.0000, 0, 28, 0.3258, 9.9100, 9.5841, 3.6333, 0.5053, 0.4947, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0.00, 0, 0.000000, 1.000000, 0.000000, 1.000000, 0.300000, 0.500000
